title_href,selling_proposition,price,discount,available_color,rank-title,rank-sub,product_title,main_category
https://us.shein.com/SLOWSUNDAY-Under-Eye-Collagen-Patches-Eye-Masks-With-24K-Gold-Eye-Gel-Treatment-Masks-For-Puffy-Eyes-Eye-Pads-For-Dark-Circles-Under-Eye-Bags-Anti-Wrinkle-Moisturizing-Improves-Elasticity-30-PAIRS-p-21978620.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,4.79,20.0,1.0,#2 Best Sellers,in Facial Masks,"SLOWSUNDAYâ¢ Under Eye Collagen Patches Eye Masks With 24K Gold, Eye Gel Treatment Masks For Puffy Eyes, Eye Pads For Dark Circles, Under Eye Bags, Anti Wrinkle, Moisturizing Improves Elasticity 30 PAIRS",Beauty & Health
https://us.shein.com/3pcs-Bath-Sponge-Soft-Shower-Flower-Bubble-Bath-Ball-Random-Color-p-20798001.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,700+ sold recently,0.88,69.0,1.0,,,"3pcs Bath Sponge Soft Shower Flower, Bubble Bath Ball, Random Color",Beauty & Health
https://us.shein.com/SHEGLAM-Sun-Sculpt-Liquid-Contour-Golden-Sun-Gel-Cream-Contour-Non-Greasy-Long-Lasting-Highly-Pigmented-Natural-Contour-Contouring-Weightless-Bronzer-Black-Friday-Winter-Brown-Contour-Bronzer-p-3455673.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,4.99,17.0,7.0,#2 Best Sellers,in Face Make Up,SHEGLAM Sun Sculpt Liquid Contour-Golden SunÂ  Gel Cream ContourÂ  Non-Greasy Long Lasting Highly Pigmented Natural Contour Contouring Weightless Bronzer Black Friday Winter Brown Contour & Bronzer,Beauty & Health
https://us.shein.com/Combing-Hair-Dyeing-Separation-Pointed-Tail-Comb-1-Piece-Pp-Material-Simple-Heat-Resistant-Rat-Tail-Household-Hair-Brush-p-16222945.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,1.0k+ sold recently,0.47,64.0,1.0,,,Combing Hair Dyeing Separation Pointed Tail Comb 1 Piece Pp Material Simple Heat-Resistant Rat Tail Household Hair Brush,Beauty & Health
https://us.shein.com/Movable-Foot-Soak-Tub-for-Pedicure-and-Thermal-Massage-Promotes-Blood-Circulation-and-Contains-Bath-Powder-1-pair-p-23645814.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,500+ sold recently,12.9,7.0,1.0,,,"Movable Foot Soak Tub for Pedicure and Thermal Massage - Promotes Blood Circulation and Contains Bath Powder, 1 pair",Beauty & Health
https://us.shein.com/Extra-Long-Heatless-Curlformers-For-Tight-Spiral-Curls-Natural-Hair-Styling-Tools-p-23348964.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,1.2k+ sold recently,1.56,35.0,5.0,,,"Extra-Long Heatless Curlformers For Tight Spiral Curls, Natural Hair Styling Tools",Beauty & Health
https://us.shein.com/Long-Satin-Sleep-Bonnet-Extra-Large-Night-Cap-for-Women-with-Long-Curly-Dreadlock-Braid-Hair-pink-Black-Friday-p-19297248.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,300+ sold recently,1.55,40.0,1.0,,,Long Satin Sleep Bonnet -Extra Large Night Cap for Women with Long Curly Dreadlock Braid Hair pink Black Friday,Beauty & Health
https://us.shein.com/12pcs-Multifunctional-Super-Soft-Makeup-Brush-Set-Angled-Teardrop-Shaped-Beauty-Sponge-1pc-Round-Powder-Puff-Quick-Makeup-Application-Tool-p-34130100.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,,7.8,5.0,1.0,#5 Best Sellers,in Brushes Sets,"12pcs Multifunctional Super Soft Makeup Brush Set+Angled & Teardrop Shaped Beauty Sponge+1pc Round Powder Puff, Quick Makeup Application Tool",Beauty & Health
https://us.shein.com/Moisturizing-Soft-Eye-Sheet-60pcs-Refreshing-Facial-Care-Product-For-Women-p-15823754.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,900+ sold recently,2.77,41.0,1.0,,,"Moisturizing Soft Eye Sheet, 60pcs Refreshing Facial Care Product For Women",Beauty & Health
https://us.shein.com/25pcs-Disposable-Eyelash-Extension-Brush-Makeup-Brush-Mascara-Wands-Applicator-Spoolers-Eyelashe-Black-Friday-p-22279684.html?src_identifier=fc%3DBeauty%20%26%20Health%60sc%3DBeauty%20%26%20Health%60tc%3D0%60oc%3D0%60ps%3Dtab12navbar12%60jc%3DitemPicking_017172970&src_module=topcat&src_tab_page_id=page_select_class1718919273428&mallCode=1&pageListType=2,100+ sold recently,0.55,58.0,1.0,,,25pcs Disposable Eyelash Extension Brush Makeup Brush Mascara Wands Applicator Spoolers Eyelashe Black Friday,Beauty & Health
