title_href,selling_proposition,price,discount,available_color,product_title,main_category
https://us.shein.com/Baby-Girl-Casual-Triangle-Romper-With-Simple-Letter-Print-Short-Sleeve-p-35184099.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,100+ sold recently,2.1,50.0,1.0,"Baby Girl Casual Triangle Romper With Simple Letter Print, Short Sleeve",Baby & Maternity
https://us.shein.com/1pc-Cartoon-Bathroom-Net-Storage-Bag-Multifunctional-Wall-Hanging-Organizer-p-20474524.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,700+ sold recently,1.45,24.0,1.0,"1pc Cartoon Bathroom Net Storage Bag, Multifunctional Wall Hanging Organizer",Baby & Maternity
https://us.shein.com/SHEIN-Baby-Girl-Newborn-Elephant-Heart-Print-Ruffle-Trim-Romper-p-13794906.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.3k+ sold recently,6.0,8.0,6.0,SHEIN Baby Girl Newborn Elephant & Heart Print Ruffle Trim Romper,Baby & Maternity
https://us.shein.com/Baby-Girl-Fashionable-Casual-Flower-Letter-Slogan-Printed-Short-Sleeve-T-Shirt-p-35785250.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,400+ sold recently,4.0,5.0,5.0,"Baby Girl Fashionable Casual Flower, Letter & Slogan Printed Short Sleeve T-Shirt",Baby & Maternity
https://us.shein.com/1pc-2pcs-3pcs-Clear-Pacifier-Storage-Case-Portable-Dustproof-p-20859504.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,1.4,0.0,1.0,"1pc/2pcs/3pcs Clear Pacifier Storage Case, Portable & Dustproof",Baby & Maternity
https://us.shein.com/Baby-Boy-Tropical-Print-Tee-Shorts-p-7834267.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.5k+ sold recently,3.33,37.0,1.0,Baby Boy Tropical Print Tee & Shorts,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Boy-2pcs-Set-Casual-Color-Block-Letter-Printed-T-Shirt-And-Shorts-p-29583415.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,500+ sold recently,6.45,24.0,8.0,SHEIN Baby Boy 2pcs/Set Casual Color Block Letter Printed T-Shirt And Shorts,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Boy-s-Simple-Letter-Pattern-Short-Sleeve-Romper-p-27082901.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.0k+ sold recently,5.66,18.0,1.0,SHEIN Baby Boy's Simple Letter Pattern Short Sleeve Romper,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Girl-Butterfly-Print-Tie-Dye-Cami-Romper-p-11197972.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,3.5,8.0,6.0,SHEIN Baby Girl Butterfly Print Tie Dye Cami Romper,Baby & Maternity
https://us.shein.com/Summer-Baby-Girls-2pcs-Lovely-Duck-Pattern-Sleeveless-Top-And-Casual-Shorts-Sweet-Set-p-34595021.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,60+ sold recently,5.1,0.0,1.0,Summer Baby Girls' 2pcs Lovely Duck Pattern Sleeveless Top And Casual Shorts Sweet Set,Baby & Maternity
