available_color,title_href,rank-title,rank-sub,price,discount,selling_proposition,product_title,main_category
1.0,https://us.shein.com/Women-Summer-Flat-Sandals-With-Ankle-Strap-Square-Toe-Vintage-Minimalist-Roman-Style-Suitable-For-Beach-Vacation-Anti-Slip-Women-Flat-Sandals-p-28783811.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,4.13,64.0,800+ sold recently,"Women Summer Flat Sandals With Ankle Strap, Square Toe, Vintage Minimalist Roman Style, Suitable For Beach Vacation, Anti-Slip Women Flat Sandals",Shoes
1.0,https://us.shein.com/2-4pcs-Women-s-High-Heel-Foot-Pads-Anti-Slip-Half-Insole-Forefoot-Pad-Foot-Care-Shoe-Cushion-p-30094732.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,0.6,60.0,600+ sold recently,2/4pcs Women's High-Heel Foot Pads Anti-Slip Half Insole Forefoot Pad Foot Care Shoe Cushion,Shoes
7.0,https://us.shein.com/Women-s-Comfortable-Breathable-Flat-Slip-On-Casual-Sports-Shoes-Versatile-Design-p-28247089.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#4 Best Seller,In Camel Women Shoes,7.36,45.0,,"Women's Comfortable Breathable Flat Slip-On Casual Sports Shoes, Versatile Design",Shoes
1.0,https://us.shein.com/Women-s-Transparent-Strap-Chunky-Heel-Wide-Version-Sandals-French-Inspired-Chunky-Heel-High-Heels-New-Style-Comfortable-And-Fashionable-Crystal-Heel-Women-s-Summer-High-Heel-Sandals-p-36817541.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,18.2,17.0,,"Women's Transparent Strap Chunky Heel Wide Version Sandals, French Inspired Chunky Heel High Heels, New Style Comfortable And Fashionable Crystal Heel Women's Summer High Heel Sandals",Shoes
16.0,https://us.shein.com/Ladies-Outdoor-Sports-Skateboarding-Shoes-In-White-Fluorescent-Green-Comfortable-Flat-Bottom-Walking-Casual-Shoes-p-31834865.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,8.96,64.0,80+ sold recently,"Ladies' Outdoor Sports Skateboarding Shoes In White & Fluorescent Green, Comfortable Flat Bottom Walking Casual Shoes",Shoes
1.0,https://us.shein.com/Travel-Shoe-Bags-Set-Of-20-Or-50-Keep-Your-Shoes-Clean-And-Tidy-On-The-Go-p-33009492.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#4 Best Sellers,in Shoe Storage,2.5,29.0,,Travel Shoe Bags - Set Of 20 Or 50 - Keep Your Shoes Clean And Tidy On The Go,Shoes
1.0,https://us.shein.com/2024-New-Style-Cross-Suede-Thick-Heeled-Women-Daily-Versatile-Sandals-p-33952982.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,9.36,46.0,300+ sold recently,2024 New Style Cross Suede Thick Heeled Women Daily Versatile Sandals!,Shoes
1.0,https://us.shein.com/Women-Pointed-Toe-Slip-On-Loafers-Flat-Walking-Shoes-p-21712601.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,25.2,18.0,50+ sold recently,Women Pointed Toe Slip-On Loafers Flat Walking Shoes,Shoes
1.0,https://us.shein.com/1-Pair-Heel-Grips-Liner-Cushions-Inserts-For-Loose-Shoes-Heel-Pads-Snugs-For-Shoe-Too-Big-Men-Women-Filler-Improved-Shoe-Fit-And-Comfort-Prevent-Heel-Slip-And-Blister-p-32386665.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,1.14,29.0,200+ sold recently,"1 Pair Heel Grips Liner Cushions Inserts For Loose Shoes, Heel Pads Snugs For Shoe Too Big Men Women, Filler Improved Shoe Fit And Comfort, Prevent Heel Slip And Blister",Shoes
1.0,https://us.shein.com/Women-s-Elegant-Fold-Over-Chunky-Heel-Pointed-Toe-Crocodile-Print-Mid-Calf-Slouchy-Boots-p-36819640.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,45.99,34.0,,Women's Elegant Fold Over Chunky Heel Pointed Toe Crocodile Print Mid-Calf Slouchy Boots,Shoes
7.0,https://us.shein.com/Women-s-High-Heeled-Lightweight-Comfortable-And-Fashionable-Wedge-Sandals-With-Elastic-Straps-Simple-Style-Slippers-Round-Toe-Suitable-For-Students-Summer-Or-Hawaii-Beach-Vacations-p-34499894.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,4.86,53.0,60+ sold recently,"Women's High-Heeled, Lightweight, Comfortable And Fashionable Wedge Sandals With Elastic Straps, Simple Style Slippers, Round Toe, Suitable For Students, Summer Or Hawaii Beach Vacations",Shoes
1.0,https://us.shein.com/Women-s-Summer-Flat-Beach-Flip-Flops-Wear-Outdoors-2024-New-Arrivals-Suitable-For-Seaside-Vacation-Large-Size-41-43-p-30922560.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#10 Best Seller,In Black Women Flat Sandals,6.94,38.0,,"Women's Summer Flat Beach Flip Flops, Wear Outdoors 2024 New Arrivals, Suitable For Seaside Vacation, Large Size 41-43",Shoes
1.0,https://us.shein.com/1pc-Simple-Versatile-Heart-Faux-Pearl-Chain-Lobster-Clasp-Shoe-Accessory-For-Canvas-Shoes-p-24113592.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,1.66,50.0,200+ sold recently,1pc Simple & Versatile Heart & Faux Pearl Chain Lobster Clasp Shoe Accessory For Canvas Shoes,Shoes
1.0,https://us.shein.com/15-Pairs-Lady-Shoe-Heel-Repair-Tips-For-Shoes-Pins-Dowel-Lifts-Wedding-Heels-Care-Kit-Protectors-Caps-Women-Heeltaps-Accessories-p-30084247.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#1 Best Seller,In Black Shoe Tools,3.8,24.0,,15 Pairs Lady Shoe Heel Repair Tips For Shoes Pins Dowel Lifts Wedding Heels Care Kit Protectors Caps Women Heeltaps Accessories,Shoes
1.0,https://us.shein.com/New-Leopard-Print-Bowknot-Simple-Pointed-Toe-Flat-Mules-Women-s-Slip-On-Shoes-p-35554575.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,9.5,17.0,10+ sold recently,"New Leopard Print Bowknot Simple Pointed Toe Flat Mules, Women's Slip-On Shoes",Shoes
4.0,https://us.shein.com/SHEIN-SHUZIA-Women-s-Hollow-Out-Breathable-Shoes-p-26082916.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#1 Best Seller,In Khaki Women Clogs,18.81,1.0,,SHEIN SHUZIA Women's Hollow Out Breathable Shoes,Shoes
1.0,https://us.shein.com/Women-Summer-Square-Open-Toe-Slides-Backless-Mules-Slippers-Flip-Flops-Heeled-Sandals-p-17820450.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,,,22.14,10.0,50+ sold recently,Women Summer Square Open Toe Slides Backless Mules Slippers Flip Flops Heeled Sandals,Shoes
5.0,https://us.shein.com/Men-s-Casual-Sports-Sneakers-Non-slip-White-Shoes-For-All-Seasons-Suitable-For-Students-p-21502534.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#3 Best Sellers,in Men Casual Shoes,18.43,27.0,,"Men's Casual Sports Sneakers, Non-slip White Shoes For All Seasons, Suitable For Students",Shoes
9.0,https://us.shein.com/Women-Criss-Cross-Sculptural-Heeled-Ankle-Strap-Sandals-Glamorous-Outdoor-Heeled-Sandals-p-13856366.html?src_identifier=fc%3DShoes%60sc%3DShoes%60tc%3D0%60oc%3D0%60ps%3Dtab08navbar08%60jc%3DitemPicking_017172966&src_module=topcat&src_tab_page_id=page_select_class1718914852609&mallCode=1&pageListType=2,#4 Best Seller,In Gold Women Heeled Sandals,20.4,21.0,,"Women Criss Cross Sculptural Heeled Ankle Strap Sandals, Glamorous Outdoor Heeled Sandals",Shoes
10.0,,,,10.7,21.0,40+ sold recently,Women's Fashion Plus Size Casual Outdoor Flat Sandals With Toe Separator,Shoes
1.0,,,,19.59,30.0,,MOTF PREMIUM WOMEN SOLID COLOR SIMPLE BOWKNOT DECORATION POINTED TOE FLAT SHOES,Shoes
1.0,,,,7.28,44.0,700+ sold recently,SHUZIA Curve Toe Perspex Caged In Jelly Flats,Shoes
39.0,,,,20.5,21.0,10k+ sold recently,"Women's Thick Heel Platform Wedge Sandals, Summer 2023 New Arrivals, Outdoor Beach Roman Style Slippers",Shoes
18.0,,,,13.0,0.0,10k+ sold recently,"SHEIN SHUZIA All Time Bestseller Women's White Blanc Iconic ""H"" Cut-Out O'lan Replica Flat Sandal: Enhanced Comfort, Timeless Style, Most Popular Slide,Over 50k Sold.",Shoes
1.0,,#9 Best Seller,In Black Men Sneakers,30.9,24.0,,Men's Strap Flat Casual Sports Shoes With Laces And Low Cut Design In Fashionable Black,Shoes
1.0,,#1 Best Seller,In White Men Flip Flops & Slides,6.5,25.0,,"Men's Summer Slippers, Soft Non-Slip Sole Indoor/Outdoor Bath Shower Couple Anti-Odor Daily Home Big Size Slippers",Shoes
1.0,,,,13.3,20.0,,"Women Minimalist Slingback Sandals, Elegant Sandals",Shoes
4.0,,,,19.8,18.0,90+ sold recently,Women's Elegant Feng Shui Rhinestone Decorated Silver Mesh Pointed Toe Hollow Out Ankle Strap Comfortable Daily/Party Flat Shoes,Shoes
30.0,,#2 Best Seller,In Black Women Flats,10.09,20.0,,Women's Spring And Autumn Fashion Pointed Toe Black Flat Shoes,Shoes
1.0,,#7 Best Sellers,in Women Casual Athletic Shoes,7.17,51.0,,Fashionable And Versatile Comfortable White Sneakers With Soft Soles For Casual And Sports Activities,Shoes
4.0,,,,13.2,25.0,2.0k+ sold recently,Men's Comfortable Ultralight Breathable Mesh Athletic Shoes,Shoes
7.0,,#3 Best Seller,In Purple Women Home Slippers,17.6,0.0,,SHEIN SHUZIA Women's Indoor Slippers,Shoes
1.0,,,,10.7,21.0,,"New European And American Style 2024 Women's Clip-Toe Buckle Flat Sandals With Side Hollow Design, Plus Size For Summer",Shoes
1.0,,,,2.0,31.0,60+ sold recently,4pcs/Set Cute Butterfly Diamond Buckle Shoe Clip For Sport & Casual Shoes With Detachable Shoelace Decoration,Shoes
4.0,,#4 Best Seller,In Silver Women Heeled Sandals,22.1,21.0,,"Women's High Heel Sandals Summer New European And American Banquet Simple Square Toe Sandals Popular Slippers, Coral Pearls, Metal Silver High Heels, Vacation, Camping, Sexy, Light Weight, Outside Wearing High Heel Sandals, Lightweight, Beach, Fashionable Sandals",Shoes
27.0,,#1 Best Seller,In Grey Women Slides,14.7,23.0,,"New Arrival Women's Casual Home Slipper, Street Style Flat Flip Flop With Double Straps Soft Wood Grain Pattern, Water Proof",Shoes
1.0,,,,22.4,6.0,30+ sold recently,"Women Bow & Buckle Decor Chunky Heeled Sandals, Elegant Outdoor White Ankle Strap Sandals",Shoes
1.0,,,,15.9,21.0,800+ sold recently,"Women Buckle Decor Solid White Ankle Strap Wedge Sandals, Vacation Wedge Sandals",Shoes
1.0,,,,21.5,20.0,,"New Women's Fashionable Comfortable Green Round Toe Velvet Lace-Up Booties With Rhinestone Decor, Vintage Simple Casual Chunky Heel Mid-Calf Boots",Shoes
1.0,,#7 Best Sellers,in Women's Outdoor Athletic Shoes,10.46,48.0,,"Women's Casual Sports Shoes, Fashionable Sneakers With Thick Soles, Low-Cut Lace-Up White Shoes, Outdoor Sports Running Shoes,Suitable For Any Season",Shoes
1.0,,#9 Best Seller,In Silver Women Flat Sandals,8.5,21.0,,"2024 Summer New Arrival Fashionable Women's Silver Sandals & Slippers For Walking, Beach Trip, Traveling, TPR Anti-Skid",Shoes
15.0,,,,20.2,20.0,60+ sold recently,"Women's High Heel Wedge Sandals, New Style, Waterproof Platform, Fashionable Butterfly Decoration, Rhinestones, Popular Among Girls",Shoes
1.0,,,,3.5,0.0,100+ sold recently,"2pcs/1 Pair Compression Arch Support Brace For Men & Women - For Flat Feet, High Arches, Fallen Arches, Heel Fatigue - Unisex Orthotic Support - Ideal For Weight 40~70kg",Shoes
23.0,,#3 Best Seller,In Multicolor Women Flats,12.6,18.0,,"Ladies' Fashionable Hollow Out Flat Shoes, Comfortable & Non-slip",Shoes
